,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
0,1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0
1,1,6,1,11,1,1,1,1,3,4,4,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.66666667,0,13.9,-0.3,0.79,1
2,1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,0
3,1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,0,20,0,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,1
4,2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,1,0,50,0,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,1
5,1,1,1,12,1,1,1,13,28,8,11,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,1
6,1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,0
7,1,1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,0
8,1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,0,18,0,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,1
9,1,1,1,12,1,1,1,13,28,10,10,1,0,0,1,0,1,18,0,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,-1.7,1
10,1,1,2,16,1,1,1,13,27,5,10,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,0
11,1,17,1,11,1,16,1,1,1,5,8,1,0,0,1,0,1,21,0,0,6,7,6,10.57142857,0,0,6,8,5,11.0,0,8.9,1.4,3.51,1
12,1,1,1,6,1,1,1,23,27,6,6,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,1
13,1,1,1,15,1,1,1,13,27,10,4,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,0
14,1,1,1,8,1,1,1,3,14,4,6,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,1
15,1,1,3,2,1,1,1,1,1,10,9,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,1
16,1,1,1,12,1,1,1,13,14,4,8,0,0,0,1,0,0,19,0,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,1
17,1,8,2,10,1,1,1,13,28,8,9,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,1
18,1,16,1,5,1,1,1,27,3,16,22,1,0,0,1,1,0,20,0,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,1
19,1,9,1,3,0,1,1,13,1,10,6,1,0,0,1,0,0,19,0,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,1
20,1,1,1,17,0,1,1,2,27,4,10,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,1
21,1,12,1,1,1,1,1,23,27,10,7,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,0
22,1,12,1,7,1,8,1,19,27,1,1,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,0
23,1,14,1,9,1,1,1,22,27,7,7,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,0
24,4,12,1,17,0,1,1,13,14,10,4,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,1
25,1,15,1,8,1,14,3,4,4,4,7,0,0,1,0,0,0,20,1,2,6,13,3,11.66666667,0,1,6,11,3,12.0,0,12.4,0.5,1.79,0
26,1,1,5,15,1,1,1,3,3,3,3,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,0
27,1,1,2,9,1,1,1,3,14,3,8,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,1
28,1,8,1,15,1,1,1,1,28,6,6,0,0,0,0,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,0
29,1,12,1,17,0,1,1,22,27,10,10,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,0
30,1,8,6,12,1,1,1,22,14,8,8,1,0,0,1,0,1,22,0,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,1
31,1,12,1,11,1,1,1,13,28,10,8,0,0,0,1,0,1,24,0,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,1
32,1,12,1,17,0,1,1,23,28,10,10,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,0
33,1,1,1,12,1,1,1,1,14,6,6,1,0,0,1,0,0,18,0,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,1
34,2,4,1,11,1,3,1,1,3,5,4,0,0,0,1,0,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,0
35,1,12,1,8,1,15,1,3,3,3,3,1,0,0,1,0,0,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,0
36,1,8,1,12,1,1,1,23,28,8,11,1,0,0,1,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,1
37,1,1,2,12,1,1,1,13,14,10,10,0,0,0,1,0,0,18,0,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,16.2,0.3,-0.92,1
38,1,15,1,10,1,14,1,13,1,10,10,0,0,0,1,0,1,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,1
39,4,13,1,12,1,12,1,1,1,6,6,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,0
40,1,1,3,2,1,1,1,13,14,6,4,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,1
41,1,1,3,9,1,1,1,1,28,8,8,0,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,0
42,1,8,1,12,1,1,1,22,14,9,5,0,0,0,1,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,1
43,1,1,1,2,1,1,1,13,14,6,11,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,0
44,1,8,4,11,1,1,1,23,27,6,8,1,0,0,1,1,0,18,0,0,6,12,3,11.66666667,0,0,6,12,1,12.0,0,12.4,0.5,1.79,0
45,1,8,3,9,1,1,1,13,14,5,8,1,0,1,1,1,0,18,0,0,5,8,3,10.33333333,0,0,5,11,3,10.85714286,0,10.8,1.4,1.74,0
46,1,9,4,11,1,1,1,13,27,8,8,1,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,0
47,1,8,4,12,1,1,1,23,27,10,10,0,0,0,1,1,1,22,0,0,7,7,7,14.84285714,0,0,8,9,8,15.05555556,0,16.2,0.3,-0.92,1
48,1,1,6,16,1,1,1,13,14,10,10,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,0
49,1,12,1,17,0,2,1,3,3,3,3,1,0,0,1,1,0,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,0
50,1,12,1,4,1,4,1,3,3,5,3,0,0,1,1,1,0,24,0,6,12,17,6,12.16666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,0
51,2,12,1,3,0,1,1,22,27,10,7,1,0,0,1,0,0,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,1
52,1,13,1,12,1,1,1,22,28,10,8,1,0,0,1,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,1
53,1,12,1,14,1,1,1,1,14,5,6,0,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,1
54,1,8,1,5,1,1,1,13,28,5,1,1,0,0,1,1,0,20,0,0,6,9,6,10.66666667,1,0,6,6,5,11.2,0,7.6,2.6,0.32,1
55,1,12,1,12,1,1,1,1,1,5,11,0,0,0,1,1,0,24,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,0
56,1,6,1,8,1,1,14,1,1,5,5,0,0,0,1,0,0,26,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,0
57,2,12,1,16,1,8,1,22,24,1,1,0,0,0,1,0,0,39,0,0,6,12,3,12.66666667,0,0,6,14,0,0.0,1,7.6,2.6,0.32,0
58,1,1,5,15,1,1,1,22,1,6,6,1,0,0,1,0,0,18,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51,1
